Key,Description,Standard,Spanish,Catalan,English
CHARACTER.BARDA,,BARDA,BARDA,BARDA,BARDA
MENU.Flowchart_Esc4_ESP.7,,Volver al CRUCE,Volver al CRUCE,Tornar a l'ENCREUAMENT,Back to CROSSGROUND
MENU.Flowchart_Esc4_ESP.20,,Bajar de la TORRE,Bajar de la TORRE,Baixar de la TORRE,Down to TOWER
MENU.Flowchart_Esc4_ESP.4,,Escaleras,Escaleras,Escales,Climb to scales
MENU.Flowchart_Esc4_ESP.6,,Volando,Volando,Volant,Flying
MENU.Flowchart_Esc4_ESP.19,,Seguir esperando,Seguir esperando,Seguir esperant,Keep waiting
MENU.Flowchart_Esc4_ESP.17,,Bajar de la TORRE,Bajar de la TORRE,Baixar de la TORRE,Down to TOWER
MENU.Flowchart_Esc4_ESP.16,,Esperar,Esperar,Esperar,Wait
MENU.Flowchart_Esc4_ESP.14,,Cima de la TORRE,Cima de la TORRE,Cim de la TORRE,Top at TOWER
MENU.Flowchart_Esc4_ESP.10,,Cima de la TORRE,Cima de la TORRE,Cim de la TORRE,Top at TOWER
MENU.Flowchart_Esc4_ESP.33,,"Ayúdame, tengo un problema.","Ayúdame, tengo un problema.","Ajuda'm, tinc un problema.","Help me, I have a problem."
MENU.Flowchart_Esc4_ESP.29,,Hablar con BARDA,Hablar con BARDA,Parlar amb la BARDA,Ask BARDA
MENU.Flowchart_Esc4_ESP.32,,"Siento interrumpirte, ¿me podría ayudar?","Siento interrumpirte, ¿me podría ayudar?","Sento interrompre, em podries ajudar?","Sorry to interrupt, but could you help me?"
SAY.Flowchart_Esc4_ESP.44.BARDA,,"Si no tienes dónde ir, puedes venir a verme en la posada. En la ciudad habrá más gente que te pueda ayudar.","Si no tienes dónde ir, puedes venir a verme en la posada. En la ciudad habrá más gente que te pueda ayudar.","Si no tens on anar, pots venir a veurem a la posada. En la ciutat hi haurà més gent que et pugui ajudar.","If you don't have anywhere to go to, you can come see me in the inn. There will be people that may help you in the city."
SAY.Flowchart_Esc4_ESP.39.BARDA,,Si puedo serte de ayuda...,Si puedo serte de ayuda...,Si puc ser-te d'ajuda...,If I can be of help...
MENU.Flowchart_Esc4_ESP.37,,(Marchar),(Marchar),(Fugir),(Escape)
